Title	Link	Category	Image
ÉDITORIAL. Frais bancaires : la grande opacité	https://www.ladepeche.fr/2025/10/20/editorial-frais-bancaires-la-grande-opacite-12987435.php	N/A	https://assets.ladepeche.fr/img/lazy_small.jpg?1e2315d2
Le logement qu’elle veut vendre est squatté, elle finit en garde à vue pour "association de malfaiteurs" et perd 80 000 euros	https://www.ladepeche.fr/2025/10/20/le-logement-quelle-veut-vendre-est-squatte-elle-finit-en-garde-a-vue-pour-association-de-malfaiteurs-et-perd-80-000-euros-13003550.php	N/A	N/A
Retraites : plus d’un Français sur deux ne croit plus en notre système	https://www.ladepeche.fr/2025/10/20/retraites-plus-dun-francais-sur-deux-ne-croit-plus-en-notre-de-systeme-13003799.php	N/A	N/A
"Refuser de communiquer les pièces, c’est un délit…" Notes de frais des élus : comment la Chambre des comptes traque les dérives en Occitanie	https://www.ladepeche.fr/2025/10/19/refuser-de-communiquer-les-pieces-cest-un-delit-notes-de-frais-des-elus-comment-la-chambre-des-comptes-traque-les-derives-en-occitanie-12998422.php	N/A	N/A
"Le sang coule de nouveau" : pourquoi la trêve vacille à Gaza alors que des tirs israéliens ont fait 45 morts	https://www.ladepeche.fr/2025/10/20/le-sang-coule-de-nouveau-pourquoi-la-treve-vacille-a-gaza-alors-que-des-tirs-israeliens-ont-fait-45-morts-13003614.php	N/A	N/A
Rugby amateur : interruption du match, blessure grave, carton rouge… Succès mouvementé pour l’Entente Miélan-Mirande contre Arudy	https://www.ladepeche.fr/2025/10/19/rugby-amateur-interruption-du-match-blessure-grave-carton-rouge-succes-mouvemente-pour-lentente-mielan-mirande-contre-arudy-13002526.php	N/A	N/A
JT de 13h de France 2 : 5 choses à savoir sur Mélanie Taravant qui remplace Julian Bugier pendant les vacances	https://www.ladepeche.fr/2025/10/20/jt-de-13h-de-france-2-5-choses-a-savoir-sur-melanie-taravant-qui-remplace-julian-bugier-pendant-les-vacances-12987730.php	N/A	N/A
DIRECT. Guerre en Ukraine : Zelensky assure être prêt à se joindre à Trump et Poutine à Budapest, vers une rencontre dans les prochains jours ?	https://www.ladepeche.fr/2025/10/20/direct-guerre-en-ukraine-pres-de-30-000-foyers-prives-delectricite-apres-un-bombardement-russe-trump-ne-veut-pas-descalade-13003419.php	N/A	N/A
Pour la troisième fois, un agriculteur retraité est condamné pour une pollution aux produits phytosanitaires : 1 000 euros d’amende	https://www.ladepeche.fr/2025/10/19/pour-la-troisieme-fois-un-agriculteur-retraite-est-condamne-pour-une-pollution-aux-produits-phytosanitaires-1-000-euros-damende-12998467.php	N/A	N/A
Un prédateur rôde-t-il dans ce village ? Plusieurs jeunes filles ont été suivies, la municipalité veut distribuer des badges anti-agressions	https://www.ladepeche.fr/2025/10/20/linquietude-grandit-dans-ce-village-un-homme-a-suivi-plusieurs-jeunes-filles-la-municipalite-veut-distribuer-des-badges-anti-agressions-13003633.php	N/A	N/A
Agression de membres du groupuscule d’extrême droite Patria Albiges devant un bar d’Albi : relaxe pour les trois prévenus, le parquet fait appel	https://www.ladepeche.fr/2025/10/20/agression-de-membres-du-groupuscule-dextreme-droite-patria-albiges-devant-un-bar-dalbi-relaxe-pour-les-trois-prevenus-le-parquet-fait-appel-13003480.php	N/A	N/A
Incendie mortel à Lyon : bilan humain, départ de feu au sous-sol, immeuble squatté… Ce que l’on sait du drame	https://www.ladepeche.fr/2025/10/20/incendie-mortel-a-lyon-bilan-humain-depart-de-feu-au-sous-sol-immeuble-squatte-ce-que-lon-sait-du-drame-13003605.php	N/A	N/A
Mystérieux vols de chevaux : pourquoi et comment une dizaine d’équidés subtilisés en France ont-ils été retrouvés en Roumanie ?	https://www.ladepeche.fr/2025/10/20/mysterieux-vols-de-chevaux-pourquoi-et-comment-une-dizaine-dequides-subtilises-en-france-ont-ils-ete-retrouves-en-roumanie-13003691.php	N/A	N/A
Chasse : une opération de contrôle des gendarmes et de l’OFB dans le Lot	https://www.ladepeche.fr/2025/10/20/chasse-une-operation-de-controle-des-gendarmes-et-de-lofb-dans-le-lot-13003416.php	N/A	N/A
Tour de France : "T’arrives sur le podium et il y a 30 journalistes…" Les confidences de ce récent vainqueur sur la fatigue que provoque l’épreuve	https://www.ladepeche.fr/2025/10/20/tour-de-france-tarrives-sur-le-podium-et-il-y-a-30-journalistes-les-confidences-de-ce-recent-vainqueur-sur-la-fatigue-que-provoque-lepreuve-13003813.php	N/A	N/A
"On pousse les femmes vers des lieux plus dangereux" : à Toulouse, la prostitution court-elle encore les rues ?	https://www.ladepeche.fr/2025/10/20/on-pousse-les-femmes-vers-des-lieux-plus-dangereux-a-toulouse-la-prostitution-court-elle-encore-les-rues-12996531.php	N/A	N/A
"Tout tourne autour du cul" : blagues racistes, remarques "humiliantes"… l’humoriste Jarry pointé du doigt sur le tournage d’une série	https://www.ladepeche.fr/2025/10/20/tout-tourne-autour-du-cul-blagues-racistes-remarques-humiliantes-lhumoriste-jarry-pointe-du-doigt-sur-le-tournage-dune-serie-13003540.php	N/A	N/A
Snapchat, Zoom, Signal… le service cloud d’Amazon touché par une panne mondiale, de nombreux sites et applications impactés	https://www.ladepeche.fr/2025/10/20/snapchat-zoom-signal-le-service-cloud-damazon-touche-par-une-panne-mondiale-de-nombreux-sites-et-applications-impactes-13003641.php	N/A	N/A
L’arbitre est victime de sept arrêts cardiaques en plein match, il est sauvé grâce à une infirmière présente en tribune	https://www.ladepeche.fr/2025/10/20/larbitre-est-victime-de-sept-arrets-cardiaques-en-plein-match-il-est-sauve-grace-a-une-infirmiere-presente-en-tribune-13003561.php	N/A	N/A
"Quand elle est là, je suis rassurée" : à 96 ans, Agathe cohabite avec une jeune étudiante pour briser la solitude	https://www.ladepeche.fr/2025/10/19/quand-elle-est-la-je-suis-rassuree-a-96-ans-agathe-cohabite-avec-une-jeune-etudiante-pour-briser-la-solitude-12994051.php	N/A	N/A
Le refus d’obtempérer finit en accident : pronostic vital engagé pour deux automobilistes et la passagère du chauffard alcoolisé, qui est indemne	https://www.ladepeche.fr/2025/10/20/le-refus-dobtemperer-finit-en-accident-pronostic-vital-engage-pour-deux-automobilistes-et-la-passagere-du-chauffard-alcoolise-qui-est-indemne-13003543.php	N/A	N/A
VIDEO. Braquage spectaculaire au Louvre : la colère de Stéphane Bern et les larmes de Pierre-Jean Chalençon après le vol des joyaux de la Couronne	https://www.ladepeche.fr/2025/10/20/video-braquage-spectaculaire-au-louvres-la-colere-de-stephane-bern-et-les-larmes-de-pierre-jean-chalencon-apres-le-vol-des-joyaux-de-la-couronne-13003397.php	N/A	N/A
Course-poursuite sur l’A75 : 500 kg de cannabis saisis après la fuite de trafiquants stoppés dans le Cantal	https://www.ladepeche.fr/2025/10/17/course-poursuite-sur-la75-500-kg-de-cannabis-saisis-apres-la-fuite-de-trafiquants-stoppes-dans-le-cantal-12999248.php	N/A	N/A
Flashé à 230 km/h sur l’autoroute, un garagiste avait emprunté une Porsche à une cliente pour effectuer des achats pour un anniversaire	https://www.ladepeche.fr/2025/10/20/flashe-a-230-kmh-sur-lautoroute-un-garagiste-avait-emprunte-une-porsche-a-une-cliente-pour-effectuer-des-achats-pour-un-anniversaire-13003492.php	N/A	N/A
Festival CIRCa 2025 : "Masacrade", le spectacle qui électrise le public avec une voltige entre vie et mort	https://www.ladepeche.fr/2025/10/20/festival-circa-2025-masacrade-le-spectacle-qui-electrise-le-public-avec-une-voltige-entre-vie-et-mort-13002468.php	N/A	N/A
Quatre morts dans l’incendie d’un immeuble de 10 étages à Lyon, les pompiers sur place	https://www.ladepeche.fr/2025/10/20/quatre-morts-dans-lincendie-dun-immeuble-de-11-etages-a-lyon-les-pompiers-sur-place-13003415.php	N/A	N/A
REPORTAGE. Comment Roglic a terrassé Pogacar et Vingegaard ? On était en Andorre pour suivre le premier Masters de cyclisme	https://www.ladepeche.fr/2025/10/20/reportage-comment-roglic-a-terrasse-pogacar-et-vingegaard-on-etait-en-andorre-pour-suivre-le-premier-masters-de-cyclisme-13003509.php	N/A	N/A
A 23 ans il reprend et sauve la boucherie Dubertrand à Tarbes, cette saga familiale de 75 ans	https://www.ladepeche.fr/2025/10/09/boucherie-dubertrand-a-tarbes-sauvee-reprise-par-simon-garros-23-ans-apres-75-ans-dhistoire-familiale-12977232.php	N/A	N/A
VIDEO. Gérald Darmanin affirme qu’il ira "voir" Nicolas Sarkozy "en prison" en tant que ministre de la Justice	https://www.ladepeche.fr/2025/10/20/video-gerald-darmanin-affirme-quil-ira-voir-nicolas-sarkozy-en-prison-en-tant-que-ministre-de-la-justice-13003432.php	N/A	N/A
RC Auch : "Nous sommes fiers d’avoir mené ce combat…" Une défense de fer et une intensité remarquable pour un "match référence" à Nîmes	https://www.ladepeche.fr/2025/10/20/rc-auch-nous-sommes-fiers-davoir-mene-ce-combat-une-defense-de-fer-et-une-intensite-remarquable-pour-un-match-reference-a-nimes-13003505.php	N/A	N/A
Budget 2026 : la bataille démarre ce lundi à l’Assemblée nationale avec l’arrivée du texte en commission des finances	https://www.ladepeche.fr/2025/10/20/budget-2026-la-bataille-demarre-ce-lundi-a-lassemblee-nationale-avec-larrivee-du-texte-en-commission-des-finances-13003463.php	N/A	N/A
Il brise la vitre d’une voiture pour la cambrioler mais se fait arrêter par le propriétaire et un témoin avant de se rebeller face aux gendarmes	https://www.ladepeche.fr/2025/10/20/il-brise-la-vitre-dune-voiture-pour-la-cambrioler-mais-se-fait-arreter-par-le-proprietaire-et-un-temoin-avant-de-se-rebeller-face-aux-gendarmes-13002475.php	N/A	N/A
TFC : Ça a vibré dans les vestiaires du Stadium… Le président de Metz, très mécontent de ses joueurs a pris la parole après le match	https://www.ladepeche.fr/2025/10/20/tfc-ca-a-vibre-dans-les-vestiaires-du-stadium-le-president-de-metz-tres-mecontent-de-ses-joueurs-a-pris-la-parole-apres-le-match-13003541.php	N/A	N/A
ENTRETIEN. Spacer’s Volley : "On aura besoin de tout et de tout le monde" prédit Patrick Duflos, l’entraîneur de Toulouse, alors que la saison s’ouvre ce mardi	https://www.ladepeche.fr/2025/10/20/entretien-spacers-volley-on-aura-besoin-de-tout-et-de-tout-le-monde-predit-patrick-duflos-lentraineur-de-toulouse-alors-que-la-saison-souvre-ce-mardi-13001561.php	N/A	N/A
VIDEO. Spectaculaire sortie de piste d’un Boeing 747 cargo à Hong Kong : l’appareil termine dans l’eau et fait deux morts	https://www.ladepeche.fr/2025/10/20/video-spectaculaire-sortie-de-piste-dun-avion-cargo-a-hong-kong-lappareil-termine-dans-leau-et-fait-deux-morts-13003390.php	N/A	N/A
ENTRETIEN. Arrêté anti-prostitution à Toulouse : "les personnes prostituées ne font rien d’illégal" estime l’Amicale du Nid	https://www.ladepeche.fr/2025/10/20/entretien-arrete-anti-prostitution-a-toulouse-les-personnes-prostituees-ne-font-rien-dillegal-estime-lamicale-du-nid-12994466.php	N/A	N/A
Cyclisme : "En tant que Français…" Pourquoi Jonas Vingegaard déconseille à la pépite française Paul Seixas de participer au Tour de France	https://www.ladepeche.fr/2025/10/19/cyclisme-en-tant-que-francais-pourquoi-jonas-vingegaard-deconseille-a-la-pepite-francaise-paul-seixas-de-participer-au-tour-de-france-13002470.php	N/A	N/A
"On espère revoir des truites" : un méandre a été construit dans un ruisseau de cette commune de l’Aveyron afin de renaturaliser le centre-ville	https://www.ladepeche.fr/2025/10/20/on-espere-revoir-des-truites-un-meandre-a-ete-construit-dans-un-ruisseau-de-cette-commune-de-laveyron-afin-de-renaturaliser-le-centre-ville-12998268.php	N/A	N/A
VIDEO. Top 14 : "Des gens ne le respectent pas…" Âgée de 43 ans cette star des All-Blacks a été vivement défendue par son entraîneur	https://www.ladepeche.fr/2025/10/20/video-top-14-des-gens-ne-le-respectent-pas-agee-de-43-ans-cette-star-des-all-blacks-a-ete-vivement-defendue-par-son-entraineur-13003477.php	N/A	N/A
XV de France : Un forfait majeur pour les Bleus avant la Tournée d’automne ? Inquiétude autour de ce joueur star sorti sur blessure lors de Toulon-Racing	https://www.ladepeche.fr/2025/10/20/xv-de-france-un-forfait-majeur-pour-les-bleus-avant-la-tournee-dautomne-inquietude-autour-de-ce-joueur-star-sorti-sur-blessure-lors-de-toulon-racing-13003497.php	N/A	N/A
Guerre en Ukraine : Poutine "est assez semblable au Hamas, mais il est plus fort"… comment Zelensky pousse Donald Trump à se montrer plus ferme	https://www.ladepeche.fr/2025/10/20/guerre-en-ukraine-poutine-est-assez-semblable-au-hamas-mais-il-est-plus-fort-comment-zelensky-pousse-donald-trump-a-se-montrer-plus-ferme-13002844.php	N/A	N/A
Ligue des Champions : le Ballon d’Or de retour… Blessé depuis plusieurs semaines, Dembélé devrait rejouer avec le PSG	https://www.ladepeche.fr/2025/10/20/ligue-des-champions-le-ballon-dor-de-retour-blesse-depuis-plusieurs-semaines-dembele-devrait-rejouer-avec-le-psg-13003617.php	N/A	N/A
Météo : averses, vent fort et douceur… quel temps est prévu pour la première semaine des vacances de la Toussaint ?	https://www.ladepeche.fr/2025/10/20/meteo-averses-vent-fort-et-douceur-quel-temps-est-prevu-pour-la-premiere-semaine-des-vacances-de-la-toussaint-12991860.php	N/A	N/A
"Dans l’incapacité d’entendre le premier mot"… Le patron de l’arbitrage défend l’arbitre qui a interrompu le match après des chants anti-Daesh	https://www.ladepeche.fr/2025/10/19/dans-lincapacite-dentendre-le-premier-mot-le-patron-de-larbitrage-defend-larbitre-qui-a-interrompu-le-match-apres-des-chants-anti-daesh-13002123.php	N/A	N/A
Frais bancaires : virements, retraits d’espèces… pourquoi augmentent-ils encore de + 3,1 % en un an ?	https://www.ladepeche.fr/2025/10/20/frais-bancaires-virements-retraits-despeces-pourquoi-augmentent-ils-encore-de-31-en-un-an-12979363.php	N/A	N/A
Drame en Bretagne : "C’était un gamin adorable"… un enfant de 11 ans meurt dans l’incendie de sa maison, une enquête ouverte	https://www.ladepeche.fr/2025/10/19/drame-en-bretagne-cetait-un-gamin-adorable-un-enfant-de-11-ans-meurt-dans-lincendie-de-sa-maison-une-enquete-ouverte-13002639.php	N/A	N/A
REPLAY. Guerre en Ukraine : "la solidarité de l’Europe avec Kiev contre l’agression de la Russie est aujourd’hui plus importante que jamais"	https://www.ladepeche.fr/2025/10/19/direct-guerre-en-ukraine-la-solidarite-de-leurope-avec-kiev-contre-lagression-de-la-russie-est-aujourdhui-plus-importante-que-jamais-13001916.php	N/A	N/A
Ecoles à Toulouse : frictions entre l’Education nationale et le rectorat… qui va payer pour la pause du midi ?	https://www.ladepeche.fr/2025/10/20/a-toulouse-le-maire-demande-a-leducation-nationale-le-remboursement-des-frais-lies-a-la-mission-des-aesh-pendant-la-pause-meridienne-le-rectorat-ne-12999161.php	N/A	N/A
"Sous-merde", "enc*lé", "je ch*e sur vos uniformes" : ivre, il dégrade l’abbaye en tentant de s’y introduire et finit par agresser les gendarmes	https://www.ladepeche.fr/2025/10/20/sous-merde-encle-je-che-sur-vos-uniformes-ivre-il-degrade-labbaye-en-tentant-de-sy-introduire-et-finit-par-agresser-les-gendarmes-13002141.php	N/A	N/A
Eurovision : mais pourquoi donc Patrick Fiori veut-il représenter… l’Arménie ?	https://www.ladepeche.fr/2025/10/20/eurovision-mais-pourquoi-donc-patrick-fiori-veut-il-representer-larmenie-12987733.php	N/A	N/A
Course-poursuite d’1h30, individu en fuite… la saisie rocambolesque des douaniers de Millau qui mettent la main sur 594 kg de pollen de cannabis	https://www.ladepeche.fr/2025/10/19/course-poursuite-d1h30-individu-en-fuite-la-saisie-rocambolesque-des-douaniers-de-millau-qui-mettent-la-main-sur-594-kg-de-pollen-de-cannabis-13002673.php	N/A	N/A
Braquage spectaculaire au Louvre : 8 objets dérobés, agents de sécurité menacés… les premiers éléments d’enquête sur le cambriolage rocambolesque	https://www.ladepeche.fr/2025/10/19/braquage-spectaculaire-au-louvre-8-objets-derobes-agents-de-securite-menaces-les-premiers-elements-denquete-sur-le-cambriolage-rocambolesque-13002705.php	N/A	N/A
Un homme de 64 ans tué lors d’une battue aux sangliers : victime touchée au bas-ventre, enquête… ce que l’on sait du drame	https://www.ladepeche.fr/2025/10/19/deces-dun-sexagenaire-dans-un-accident-de-chasse-ce-que-lon-sait-du-drame-13002469.php	N/A	N/A
DÉCRYPTAGE. Augmentation des frais bancaires : "Leurs prix sont un avantage"… comment les banques en ligne attirent toujours plus de Français	https://www.ladepeche.fr/2025/10/20/decryptage-augmentation-des-frais-bancaires-leurs-prix-sont-un-avantage-comment-les-banques-en-ligne-attirent-toujours-plus-de-francais-12979255.php	N/A	N/A
Une nuit glaciale en montagne : un couple mal équipé retrouvé en hypothermie, ils sont héliportés par les secours	https://www.ladepeche.fr/2025/10/19/une-nuit-glaciale-en-montagne-un-couple-mal-equipe-retrouve-en-hypothermie-ils-sont-heliportes-par-les-secours-13002262.php	N/A	N/A
